antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Organic Avocado'}),frozenset({'Banana'}),0.08500979751796212,0.19768941868060091,0.027310581319399084,0.32126392623895506,1.625094192613357,1.0,0.010505043865917562,1.182065625116398,0.42038816599338863,0.10693734015345267,0.15402328030516058,0.22970642725031631
frozenset({'Banana'}),frozenset({'Organic Avocado'}),0.19768941868060091,0.08500979751796212,0.027310581319399084,0.1381489282616776,1.6250941926133569,1.0,0.010505043865917562,1.061656975881617,0.4794291164536118,0.10693734015345267,0.05807617458587887,0.22970642725031631
frozenset({'Organic Baby Spinach'}),frozenset({'Banana'}),0.0965708687132593,0.19768941868060091,0.024322338340953625,0.25185999323638825,1.274018583884394,1.0,0.005231299443548762,1.072407001451673,0.2380730107317029,0.09010344201802674,0.06751821030043485,0.1874465373194703
frozenset({'Banana'}),frozenset({'Organic Baby Spinach'}),0.19768941868060091,0.0965708687132593,0.024322338340953625,0.12303308140255236,1.274018583884394,1.0,0.005231299443548762,1.0301746988718967,0.2680783455634586,0.09010344201802674,0.029290856109104334,0.1874465373194703
frozenset({'Organic Strawberries'}),frozenset({'Banana'}),0.09603200522534291,0.19768941868060091,0.02378347485303723,0.24766196225131779,1.2527830973667617,1.0,0.00479896356530676,1.0664229921436064,0.22321279793987334,0.08810719254733532,0.062285784002171656,0.18398461760193197
frozenset({'Banana'}),frozenset({'Organic Strawberries'}),0.19768941868060091,0.09603200522534291,0.02378347485303723,0.12030727295254615,1.2527830973667617,1.0,0.00479896356530676,1.0275951670177828,0.2514951566884803,0.08810719254733532,0.02685412300825387,0.18398461760193197
frozenset({'Large Lemon'}),frozenset({'Banana'}),0.07337524493794906,0.19768941868060091,0.022493468321358588,0.30655391120507397,1.5506844688554686,1.0,0.007987958804028734,1.156990563914865,0.38324411318698975,0.0904910494334045,0.13568871589035444,0.21016788196440872
frozenset({'Banana'}),frozenset({'Large Lemon'}),0.19768941868060091,0.07337524493794906,0.022493468321358588,0.11378185272374344,1.5506844688554686,1.0,0.007987958804028734,1.0455944260563632,0.44262594907681135,0.0904910494334045,0.04360622524388373,0.21016788196440872
frozenset({'Organic Strawberries'}),frozenset({'Bag of Organic Bananas'}),0.09603200522534291,0.11654147615937296,0.02175865447419987,0.22657711273592926,1.9441757578742198,1.0,0.010566942826693787,1.1422709857550242,0.5372349616846843,0.11403020837790423,0.12455099317872036,0.20664010463754567
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Strawberries'}),0.11654147615937296,0.09603200522534291,0.02175865447419987,0.1867030965391621,1.9441757578742198,1.0,0.010566942826693787,1.111485843519119,0.5497068599505098,0.11403020837790423,0.10030343091562866,0.20664010463754567
frozenset({'Strawberries'}),frozenset({'Banana'}),0.060507838014369694,0.19768941868060091,0.021056499020248205,0.3479962218324113,1.7603178974118754,1.0,0.009094739697567494,1.2305305708108583,0.45973857767710363,0.0887932518505767,0.1873424165796629,0.22725462601140245
frozenset({'Banana'}),frozenset({'Strawberries'}),0.19768941868060091,0.060507838014369694,0.021056499020248205,0.1065130301903936,1.7603178974118752,1.0,0.009094739697567494,1.0514894942293642,0.5383461222457858,0.0887932518505767,0.048968149003809955,0.22725462601140245
frozenset({'Organic Hass Avocado'}),frozenset({'Bag of Organic Bananas'}),0.07636348791639451,0.11654147615937296,0.020280862181580667,0.265583235325564,2.278873102331167,1.0,0.011381348575125612,1.2029389392169727,0.6075838454229266,0.11748569266423878,0.16870261041601275,0.21980296696921325
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Hass Avocado'}),0.11654147615937296,0.07636348791639451,0.020280862181580667,0.17402269861286254,2.278873102331167,1.0,0.011381348575125612,1.1182347390569454,0.6352155858377486,0.11748569266423878,0.10573338041407802,0.21980296696921325
