antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Organic Hass Avocado'}),frozenset({'Bag of Organic Bananas'}),0.09306490322864755,0.15664702126254137,0.03231583351070467,0.34723974763406945,2.216701887054038,1.0,0.01773749363585036,1.2919796750502568,0.605202456288751,0.1486495611073599,0.2259940157641405,0.27676844711975696
frozenset({'Organic Strawberries'}),frozenset({'Bag of Organic Bananas'}),0.11148705678573788,0.15664702126254137,0.031266284523189164,0.2804476629361422,1.7903159643623876,1.0,0.013802169168375525,1.1720523098830737,0.4968294278733526,0.13199888451646888,0.14679576025086974,0.2400223602597124
frozenset({'Organic Avocado'}),frozenset({'Banana'}),0.08495475196148229,0.19470968594264912,0.02764056983904469,0.3253563714902808,1.670981954057042,1.0,0.011099056765288821,1.1936528858002093,0.4388302025724513,0.10967441318655716,0.16223551092945013,0.2336571144646549
frozenset({'Large Lemon'}),frozenset({'Banana'}),0.07949416142503798,0.19470968594264912,0.023390997365118276,0.2942479918751731,1.5112139411587493,1.0,0.007912714159774879,1.1410386435838784,0.3674939468060475,0.09326076141983437,0.12360549257200563,0.20719033843070728
frozenset({'Organic Raspberries'}),frozenset({'Bag of Organic Bananas'}),0.06421331532708496,0.15664702126254137,0.02238548539805797,0.34861126985941254,2.225457382142862,1.0,0.012326660826677816,1.2946999843786675,0.5884398405657345,0.11278751571629318,0.22762028881934016,0.24575763324297056
frozenset({'Strawberries'}),frozenset({'Banana'}),0.06362615505434903,0.19470968594264912,0.021563461016227643,0.33890875533510206,1.7405849826850737,1.0,0.009174832347857048,1.2181227940260293,0.4543917051045322,0.09107253564786114,0.17906470110875247,0.224827742664347
frozenset({'Organic Raspberries'}),frozenset({'Organic Strawberries'}),0.06421331532708496,0.11148705678573788,0.01826068448208794,0.2843753571836782,2.5507477314627365,1.0,0.011101730949816728,1.2415907586937518,0.6496759409873274,0.11598526875203953,0.19458163408684168,0.22408366279197076
frozenset({'Limes'}),frozenset({'Large Lemon'}),0.06994546748966965,0.07949416142503798,0.017702882222988794,0.25309548793284364,3.183824867081711,1.0,0.012142625939415248,1.232427738356194,0.7374969404170105,0.13438074544542872,0.18859340075078548,0.23789480333305463
frozenset({'Limes'}),frozenset({'Banana'}),0.06994546748966965,0.19470968594264912,0.017578110665032405,0.25131164742917106,1.2906992593228968,1.0,0.003959050657007053,1.0756014986638478,0.24216448469540414,0.07114424904942966,0.07028764719811455,0.1707951052555407
frozenset({'Cucumber Kirby'}),frozenset({'Banana'}),0.04657648863477897,0.19470968594264912,0.016227642037739725,0.348408446265364,1.789373983007636,1.0,0.007158748563350546,1.235882063605308,0.46269609311137083,0.07210409600834854,0.19086130509669685,0.21587560162414415
frozenset({'Organic Fuji Apple'}),frozenset({'Banana'}),0.038737898993754086,0.19470968594264912,0.015581765737730185,0.4022356953391436,2.0658227318882347,1.0,0.008039121590578263,1.347170294007828,0.5367228767348233,0.07152001078021829,0.25770334719525134,0.24113066383301557
frozenset({'Seedless Red Grapes'}),frozenset({'Banana'}),0.040734243921056304,0.19470968594264912,0.014267994627483505,0.35027027027027025,1.7989360343041219,1.0,0.006336642786503368,1.2394235282912638,0.4629747939356275,0.06450970632155302,0.19317329615433879,0.21177428474499604
frozenset({'Organic Yellow Onion'}),frozenset({'Bag of Organic Bananas'}),0.05401874509170709,0.15664702126254137,0.014253315620665105,0.2638586956521739,1.684415659650145,1.0,0.005791440109708662,1.145640074475396,0.4295246936428163,0.0725682896752737,0.12712550627393732,0.17742435789964736
frozenset({'Organic Zucchini'}),frozenset({'Bag of Organic Bananas'}),0.05463526337807984,0.15664702126254137,0.014084507042253521,0.257791509940892,1.645684085552012,1.0,0.0055260557781829,1.136275035967718,0.41502495814787144,0.0714232544290606,0.11993138250340796,0.17385194669607035
frozenset({'Organic Whole Milk'}),frozenset({'Banana'}),0.05362975141101953,0.19470968594264912,0.01387900094679594,0.2587929382783632,1.3291220568995705,1.0,0.0034367688923739835,1.0864579624846864,0.26165620884595664,0.059195492252308655,0.0795778258064957,0.16503671189239505
frozenset({'Honeycrisp Apple'}),frozenset({'Banana'}),0.036103017269851524,0.19470968594264912,0.013842303429749942,0.3834112624517178,1.9691432431597158,1.0,0.006812696275555115,1.3060412314039265,0.5105990963322542,0.06379811920709018,0.23432738878767864,0.22725163748316224
frozenset({'Organic Cucumber'}),frozenset({'Bag of Organic Bananas'}),0.042238842119942166,0.15664702126254137,0.013790926905885547,0.326498696785404,2.084295597540857,1.0,0.007174338106217839,1.252192051763177,0.5431642315389346,0.07450731591260557,0.2014004572286435,0.2072684647306114
frozenset({'Organic Lemon'}),frozenset({'Bag of Organic Bananas'}),0.040455342791506727,0.15664702126254137,0.013130371599057607,0.32456458635703916,2.071948663569331,1.0,0.006793162656613053,1.2486063977439894,0.5391750717723424,0.07137157903135721,0.1991070990771607,0.20419298989407036
frozenset({'Organic Blueberries'}),frozenset({'Organic Strawberries'}),0.04585721730067743,0.11148705678573788,0.012345044734273279,0.26920614596670933,2.4146851995930336,1.0,0.007232558545036732,1.2158188500224945,0.6140248111692473,0.08513869204292367,0.1775090508084337,0.18996844493858836
frozenset({'Organic Large Extra Fancy Fuji Apple'}),frozenset({'Bag of Organic Bananas'}),0.03349015405617656,0.15664702126254137,0.012308347217227282,0.36752136752136755,2.3461752707407024,1.0,0.007062214342703607,1.3334094393551712,0.5936560154193432,0.06921457757233068,0.25004280719386984,0.2230475693906327
frozenset({'Yellow Onions'}),frozenset({'Banana'}),0.038715880483526484,0.19470968594264912,0.012271649700181285,0.3169668246445498,1.6278944887102893,1.0,0.0047332927702407055,1.1789915089238208,0.4012440916539701,0.055489180937209615,0.1518174707527822,0.1899960965546244
frozenset({'Apple Honeycrisp Organic'}),frozenset({'Bag of Organic Bananas'}),0.03790853510851456,0.15664702126254137,0.012242291686544489,0.32294288480154887,2.061596078870179,1.0,0.0063040325813692125,1.2456157092304758,0.5352286645859535,0.06714975845410628,0.19718417760017956,0.2005474860684875
frozenset({'Organic Blueberries'}),frozenset({'Bag of Organic Bananas'}),0.04585721730067743,0.15664702126254137,0.011948711550176514,0.2605633802816901,1.6633790938481,1.0,0.004765315056636316,1.1405345045782773,0.4179816080416845,0.06270461811038786,0.12321810871494959,0.1684206584208432
frozenset({'Organic Lemon'}),frozenset({'Organic Hass Avocado'}),0.040455342791506727,0.09306490322864755,0.011288156243348575,0.2790275761973875,2.998204119031376,1.0,0.007523183681375237,1.2579331286873916,0.6945659066590305,0.0923501861414675,0.20504518309056358,0.20016047579585464
frozenset({'Organic Cilantro'}),frozenset({'Limes'}),0.03810670170056294,0.06994546748966965,0.011097329154709392,0.2912172573189522,4.1634900411804745,1.0,0.008431938089774129,1.3121856339113138,0.7899180585950466,0.11445874337623013,0.237912705217449,0.22493706517574052
frozenset({'Organic Grape Tomatoes'}),frozenset({'Banana'}),0.043442520679050856,0.19470968594264912,0.0110165946172082,0.2535901334684913,1.3024012248840315,1.0,0.002557915059233168,1.078884872998067,0.242732359863623,0.04850227808834459,0.0731170442485278,0.1550848628064685
