antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Organic Avocado'}),frozenset({'Banana'}),0.08500979751796212,0.19768941868060091,0.027310581319399084,0.32126392623895506,1.625094192613357,1.0,0.010505043865917562,1.182065625116398,0.42038816599338863,0.10693734015345267,0.15402328030516058,0.22970642725031631
frozenset({'Organic Baby Spinach'}),frozenset({'Banana'}),0.0965708687132593,0.19768941868060091,0.024322338340953625,0.25185999323638825,1.274018583884394,1.0,0.005231299443548762,1.072407001451673,0.2380730107317029,0.09010344201802674,0.06751821030043485,0.1874465373194703
frozenset({'Large Lemon'}),frozenset({'Banana'}),0.07337524493794906,0.19768941868060091,0.022493468321358588,0.30655391120507397,1.5506844688554686,1.0,0.007987958804028734,1.156990563914865,0.38324411318698975,0.0904910494334045,0.13568871589035444,0.21016788196440872
frozenset({'Strawberries'}),frozenset({'Banana'}),0.060507838014369694,0.19768941868060091,0.021056499020248205,0.3479962218324113,1.7603178974118754,1.0,0.009094739697567494,1.2305305708108583,0.45973857767710363,0.0887932518505767,0.1873424165796629,0.22725462601140245
frozenset({'Organic Hass Avocado'}),frozenset({'Bag of Organic Bananas'}),0.07636348791639451,0.11654147615937296,0.020280862181580667,0.265583235325564,2.278873102331167,1.0,0.011381348575125612,1.2029389392169727,0.6075838454229266,0.11748569266423878,0.16870261041601275,0.21980296696921325
frozenset({'Cucumber Kirby'}),frozenset({'Banana'}),0.05161659046374918,0.19768941868060091,0.018558131939908556,0.359538120847833,1.8187018973874607,1.0,0.008354078176855332,1.2527062225490841,0.4746574797119148,0.08042601372868162,0.20172824082797464,0.22670665593046258
frozenset({'Limes'}),frozenset({'Banana'}),0.06495754408883082,0.19768941868060091,0.01707217504898759,0.26282051282051283,1.329461711074894,1.0,0.0042307559191471205,1.0883517450941413,0.2650316772456259,0.06951924995012967,0.08117940315931504,0.17458954026603637
frozenset({'Organic Fuji Apple'}),frozenset({'Banana'}),0.037467341606792944,0.19768941868060091,0.01436152841280209,0.38330791022009153,1.9389399431609802,1.0,0.0069546314310477,1.3009905504150965,0.5031042468291345,0.06504455866582849,0.23135490901072395,0.22797741771277982
frozenset({'Yellow Onions'}),frozenset({'Banana'}),0.04179457870672763,0.19768941868060091,0.013455258001306336,0.321937878491893,1.6285033394328274,1.0,0.00519291203277273,1.183240526008068,0.4027729653414413,0.05952896980205173,0.15486329447003624,0.19500024474299354
frozenset({'Organic Raspberries'}),frozenset({'Bag of Organic Bananas'}),0.04552580013063357,0.11654147615937296,0.013022534291312867,0.2860473457675753,2.4544681875867047,1.0,0.007716890340752256,1.237418922113875,0.6208441961434691,0.08737332237743084,0.19186624502904293,0.198894486951323
frozenset({'Honeycrisp Apple'}),frozenset({'Banana'}),0.03378510777269758,0.19768941868060091,0.01263879817112998,0.37409376510391495,1.8923307458773182,1.0,0.005959839855483943,1.2818382955597194,0.48803962474284557,0.05775472894825206,0.2198703974877375,0.21901318164748468
frozenset({'Organic Whole Milk'}),frozenset({'Banana'}),0.044839973873285435,0.19768941868060091,0.011438602220770738,0.25509832483612527,1.2903994889492678,1.0,0.0025742138521076072,1.0770691059902566,0.23561098050723403,0.04949830412662521,0.07155446717543654,0.15647990210335566
frozenset({'Organic Raspberries'}),frozenset({'Organic Strawberries'}),0.04552580013063357,0.09603200522534291,0.011389614630960157,0.2501793400286944,2.605166261410856,1.0,0.007017680754927236,1.2055789377812696,0.6455358770005692,0.08749921595684627,0.1705230004761149,0.18439080927637747
frozenset({'Seedless Red Grapes'}),frozenset({'Banana'}),0.032968647942521224,0.19768941868060091,0.010842586544742,0.32887568103021303,1.6635977950927392,1.0,0.004325033698299589,1.1954723717224112,0.41249248780807374,0.04932585521672919,0.1635105723445357,0.19186112552729007
