antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Organic Avocado'}),frozenset({'Banana'}),0.08390153986689286,0.1989511288007308,0.027828526686676236,0.33168076212695635,1.6671469225950832,1.0,0.011136220622038385,1.198602143713001,0.4368229614434171,0.1091211462197774,0.1656948010269497,0.23577847805851773
frozenset({'Organic Baby Spinach'}),frozenset({'Banana'}),0.10009134803601723,0.1989511288007308,0.025349079994780113,0.25325945241199477,1.2729731866244354,1.0,0.005435793319827676,1.072727165796315,0.2382880736636537,0.09261852966594153,0.06779651724614218,0.19033652733746953
frozenset({'Organic Strawberries'}),frozenset({'Banana'}),0.09578494062377658,0.1989511288007308,0.02417460524598721,0.2523841961852861,1.2685738337180978,1.0,0.005118083186775885,1.0714712919549223,0.23414032322054293,0.08934977240526934,0.06670387950807474,0.18694723276242536
frozenset({'Strawberries'}),frozenset({'Banana'}),0.059816651441993995,0.1989511288007308,0.02114870155291661,0.3535587673847832,1.7771136535692,1.0,0.009248111227452045,1.2391673531692555,0.4651111818685212,0.08900253998764329,0.1930064995317772,0.22992987768657025
frozenset({'Large Lemon'}),frozenset({'Banana'}),0.0727440297533603,0.1989511288007308,0.021075296881117055,0.28971857831595466,1.456229879480284,1.0,0.006602790048172075,1.1277908259236433,0.3378735140161714,0.08409268419682372,0.11331075141437223,0.19782530399830037
frozenset({'Organic Hass Avocado'}),frozenset({'Bag of Organic Bananas'}),0.07943201096176432,0.11784712253686545,0.02093664361216234,0.26357942293870007,2.236621626940836,1.0,0.01157580968300166,1.197892759845715,0.600604315555233,0.11872716340594792,0.16520073121671,0.22061938826359184
frozenset({'Cucumber Kirby'}),frozenset({'Banana'}),0.051970507634085866,0.1989511288007308,0.018400104397755447,0.3540489642184557,1.7795775593365482,1.0,0.008060513239607067,1.2401077277166526,0.46208360576757623,0.07913290539829526,0.1936184432611762,0.22326725667570185
frozenset({'Limes'}),frozenset({'Banana'}),0.06678193918830745,0.1989511288007308,0.017380595067206055,0.2602589154860772,1.308155007990692,1.0,0.004094252882190529,1.082877357995644,0.25242181591018165,0.06998357963875206,0.07653438995995474,0.17381002183929573
frozenset({'Organic Fuji Apple'}),frozenset({'Banana'}),0.03836617512723477,0.1989511288007308,0.014354691374135456,0.37414965986394555,1.8806108923297107,1.0,0.006721697524805578,1.279936783329267,0.48693991413661647,0.0643816073453561,0.21871141370054104,0.22315075335262624
frozenset({'Yellow Onions'}),frozenset({'Banana'}),0.04070696855017617,0.1989511288007308,0.013318869894297272,0.32718894009216587,1.6445694078965387,1.0,0.005220172551183875,1.1906000345906946,0.4085697346376224,0.058844726316168786,0.1600873753176223,0.19706718762899605
frozenset({'Honeycrisp Apple'}),frozenset({'Banana'}),0.03431260602897038,0.1989511288007308,0.012911066162077515,0.3762776325172332,1.8913068490006528,1.0,0.006084534460519098,1.2843035827497429,0.4880099605619271,0.05859273790576303,0.2213678966316034,0.22058664965344296
frozenset({'Organic Raspberries'}),frozenset({'Bag of Organic Bananas'}),0.04597579277045544,0.11784712253686545,0.012878441863499934,0.28011353556856483,2.3769229959852307,1.0,0.007460326979150539,1.225405561917124,0.6072047304190719,0.08531906846058247,0.183943641943718,0.19469722733165593
frozenset({'Organic Raspberries'}),frozenset({'Organic Strawberries'}),0.04597579277045544,0.09578494062377658,0.011997585801905259,0.2609544083732482,2.724378244365396,1.0,0.007593797221256128,1.2234902279653797,0.6634462395668607,0.0924575738529227,0.18266613239489118,0.19310492898226442
frozenset({'Organic Whole Milk'}),frozenset({'Banana'}),0.04568217408325721,0.1989511288007308,0.011907868980816912,0.2606677379039457,1.3102098966476847,1.0,0.0028193488808814,1.0834761476906802,0.24809712824815178,0.05116702880773814,0.07704474885635569,0.16026048724410585
frozenset({'Seedless Red Grapes'}),frozenset({'Banana'}),0.03251826960720344,0.1989511288007308,0.011027012919222237,0.3391020817657387,1.7044491469328777,1.0,0.004557466474222616,1.2120614229493305,0.42719172004677625,0.050022199200828774,0.17495930398751403,0.19726390932873497
frozenset({'Organic Blueberries'}),frozenset({'Organic Strawberries'}),0.04041334986297795,0.09578494062377658,0.010105376484405586,0.25005045408678106,2.6105403673937375,1.0,0.006234386167372334,1.2057011892382097,0.6429201007350743,0.08014230271668825,0.17060710487328667,0.17777556764284558
