antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Organic Hass Avocado'}),frozenset({'Bag of Organic Bananas'}),0.120388772031624,0.1880974831362878,0.04362805541452092,0.36239305940474753,1.926623649409345,1.0,0.020983230397504132,1.2733589695647636,0.546783913185789,0.16472231350640815,0.21467549693249366,0.29716845736211234
frozenset({'Organic Strawberries'}),frozenset({'Bag of Organic Bananas'}),0.1483208819902807,0.1880974831362878,0.04269964459273228,0.28788693823658856,1.5305198848832942,1.0,0.014800859993806124,1.1401314769500102,0.4069927671099004,0.14537597234226446,0.12290817312129561,0.2574474987330708
frozenset({'Organic Hass Avocado'}),frozenset({'Organic Strawberries'}),0.120388772031624,0.1483208819902807,0.03182708348444187,0.2643692011085673,1.7824138958794158,1.0,0.013970914634984559,1.1577534808128846,0.49904215332666685,0.13435806362717778,0.13625826518968648,0.23947591064279655
frozenset({'Organic Baby Spinach'}),frozenset({'Bag of Organic Bananas'}),0.11432508885181693,0.1880974831362878,0.030934938710379344,0.27058748889734807,1.4385492266331463,1.0,0.009430677238020106,1.1130910212060392,0.3442066679311544,0.1139460325941758,0.10160087454798128,0.2175248785249475
frozenset({'Organic Raspberries'}),frozenset({'Bag of Organic Bananas'}),0.08283165300645536,0.1880974831362878,0.029875970116776673,0.3606830122591944,1.9175323680320493,1.0,0.014295544662244095,1.2699529848765365,0.5217105657883963,0.12393933923090811,0.21256927468285852,0.25975769399833587
frozenset({'Organic Baby Spinach'}),frozenset({'Banana'}),0.11432508885181693,0.20419235511713935,0.028657430913179082,0.25066615911686335,1.2275981584769091,1.0,0.005313121771550373,1.0620201590588136,0.20933322926423922,0.09886645146760753,0.05839828795131108,0.1955057138295314
frozenset({'Organic Avocado'}),frozenset({'Banana'}),0.07409878871400595,0.20419235511713935,0.027743526510480888,0.3744126859827721,1.83362734500017,1.0,0.012613120331640708,1.2720968393245664,0.4910166543939085,0.11073155197869322,0.2138963252742922,0.25514112560008173
frozenset({'Organic Raspberries'}),frozenset({'Organic Strawberries'}),0.08283165300645536,0.1483208819902807,0.02550953797055197,0.307968476357268,2.076366269029123,1.0,0.013223874139921626,1.230694107006326,0.5652063810719734,0.12404768623024832,0.18745040355112405,0.2399786633338983
frozenset({'Large Lemon'}),frozenset({'Banana'}),0.06828896786828172,0.20419235511713935,0.0228331036483644,0.33436006372809346,1.6374759159630663,1.0,0.008889018470821302,1.1955527328182756,0.41783770039562645,0.09146111159533979,0.1635667983939941,0.22309080196919023
frozenset({'Strawberries'}),frozenset({'Banana'}),0.057837092913614274,0.20419235511713935,0.021679843330673822,0.37484324053172813,1.835735918304538,1.0,0.009869951115514112,1.2729729509119219,0.48320660285595224,0.09020128557201919,0.21443735368954372,0.24050843470178335
frozenset({'Organic Whole Milk'}),frozenset({'Banana'}),0.06992819322550228,0.20419235511713935,0.01953289330528759,0.2793278705528472,1.3679643902074823,1.0,0.005254090841485889,1.1042575567523978,0.2892108085835352,0.0767236467236467,0.0944141664368749,0.18749357437844122
frozenset({'Limes'}),frozenset({'Banana'}),0.06934793646188439,0.20419235511713935,0.018865598027127003,0.2720426733605271,1.3322862807692482,1.0,0.00470527955846109,1.093206450104171,0.2679955053356945,0.07407723855092276,0.08525969646016035,0.1822169888541766
frozenset({'Organic Fuji Apple'}),frozenset({'Banana'}),0.04113295133096395,0.20419235511713935,0.018473924711684922,0.449127138070887,2.1995296435717955,1.0,0.01007489050649672,1.4446303310277537,0.5687517830023732,0.08143624504412329,0.30778138979778336,0.2698001419254691
frozenset({'Organic Yellow Onion'}),frozenset({'Bag of Organic Bananas'}),0.06042648872125916,0.1880974831362878,0.017690578080800753,0.2927619733525387,1.5564374837509933,1.0,0.006324507637568625,1.14799047318255,0.38049936131255957,0.07663786331500393,0.12891263180284007,0.19340601270488153
frozenset({'Apple Honeycrisp Organic'}),frozenset({'Bag of Organic Bananas'}),0.04984405599477769,0.1880974831362878,0.017516501051715386,0.3514260768335274,1.8683188683545453,1.0,0.008140959569793505,1.2518272595663966,0.48914019106766843,0.079466929911155,0.20116773911252242,0.2222753335619455
frozenset({'Organic Large Extra Fancy Fuji Apple'}),frozenset({'Bag of Organic Bananas'}),0.0454195981721912,0.1880974831362878,0.017117574526728078,0.37687639731715106,2.0036227547185295,1.0,0.008574262425477376,1.302955807432231,0.5247374135723036,0.0791017261605497,0.23251426157674066,0.23394006886256274
frozenset({'Cucumber Kirby'}),frozenset({'Banana'}),0.03989990570827591,0.20419235511713935,0.016058605933125407,0.4024722777676786,1.9710447902752857,1.0,0.007911350217600758,1.3318338468209967,0.5131286419271283,0.07042208721651452,0.24915558919985642,0.24055838952322547
frozenset({'Organic Lemon'}),frozenset({'Bag of Organic Bananas'}),0.04750852252121564,0.1880974831362878,0.015935301370856605,0.3354198473282443,1.7832234739962614,1.0,0.006999067857092298,1.221677345613902,0.46112516569614015,0.07254176847388233,0.18145326702649744,0.21006907995147805
frozenset({'Honeycrisp Apple'}),frozenset({'Banana'}),0.03914557191557264,0.20419235511713935,0.015630666569957204,0.3992959051324809,1.9554890040002537,1.0,0.007637440048109078,1.3247914433784078,0.5085254810843299,0.06864368987704655,0.24516420679027276,0.23792232028434218
frozenset({'Organic Zucchini'}),frozenset({'Bag of Organic Bananas'}),0.055124392543700586,0.1880974831362878,0.015558134474504968,0.2822368421052632,1.5004817576467295,1.0,0.0051893749776181376,1.1311565771153462,0.3530066566068715,0.06833821842742449,0.11594909119462408,0.18247499375922166
frozenset({'Organic Cucumber'}),frozenset({'Bag of Organic Bananas'}),0.047000797853049975,0.1880974831362878,0.015514615217233626,0.3300925925925926,1.754901698250906,1.0,0.006673883435677487,1.2119622919320099,0.4513828674245502,0.07065468719032834,0.1748918207629358,0.20628718628202877
frozenset({'Organic Garlic'}),frozenset({'Bag of Organic Bananas'}),0.058663958801769785,0.1880974831362878,0.015209980416334227,0.25927299703264095,1.3783969498665873,1.0,0.004175437414910454,1.0960887258210155,0.29162760865259935,0.06568725723593535,0.08766509823284713,0.17006760945604976
frozenset({'Organic Lemon'}),frozenset({'Organic Hass Avocado'}),0.04750852252121564,0.120388772031624,0.014840066729527816,0.31236641221374045,2.594647382329702,1.0,0.009120574042161912,1.279185955415822,0.6452458516561963,0.0969576343474552,0.2182528304300118,0.21781713790588214
frozenset({'Organic Gala Apples'}),frozenset({'Bag of Organic Bananas'}),0.043932690215420324,0.1880974831362878,0.0137665917168347,0.3133564470860162,1.6659257841263662,1.0,0.0055029632599079194,1.1824221073920425,0.41810148676554176,0.06307324205768976,0.1542783294151983,0.1932725242409605
frozenset({'Organic Blueberries'}),frozenset({'Organic Strawberries'}),0.04492637992311598,0.1483208819902807,0.013701312830927686,0.304972554084598,2.0561673446938005,1.0,0.007037792536100684,1.2253891886067831,0.5378205943713068,0.07631089924860628,0.18393273802508517,0.19867435469890812
frozenset({'Seedless Red Grapes'}),frozenset({'Banana'}),0.04109668528323783,0.20419235511713935,0.013599767897294553,0.33092128485704203,1.6206350363469872,1.0,0.00520813894180234,1.189408102322946,0.39937074218631813,0.058698306358200544,0.15924568022786037,0.19876200645239145
"frozenset({'Organic Strawberries', 'Organic Hass Avocado'})",frozenset({'Bag of Organic Bananas'}),0.03182708348444187,0.1880974831362878,0.013041270762312323,0.4097538742023701,2.1784123177527,1.0,0.0070546764633202955,1.3755321405397563,0.5587329193577637,0.06303684745643866,0.2730086266049721,0.2395431924515109
"frozenset({'Organic Strawberries', 'Bag of Organic Bananas'})",frozenset({'Organic Hass Avocado'}),0.04269964459273228,0.120388772031624,0.013041270762312323,0.3054187192118227,2.5369369091296536,1.0,0.00790071298360651,1.2663906331743287,0.632846165671874,0.0869144873592111,0.2103542352540899,0.20687251179292182
"frozenset({'Organic Hass Avocado', 'Bag of Organic Bananas'})",frozenset({'Organic Strawberries'}),0.04362805541452092,0.1483208819902807,0.013041270762312323,0.29891936824605153,2.01535592449915,1.0,0.0065703191037097385,1.2148090810596306,0.526792669957295,0.07289386199627017,0.17682538302418752,0.19342271410004175
frozenset({'Organic Cucumber'}),frozenset({'Organic Hass Avocado'}),0.047000797853049975,0.120388772031624,0.012954232247769638,0.2756172839506173,2.2893935979197257,1.0,0.007295863909734361,1.214290745043689,0.5909796254655728,0.08388126996054857,0.1764740000846989,0.19161030482625455
frozenset({'Organic Cucumber'}),frozenset({'Organic Strawberries'}),0.047000797853049975,0.1483208819902807,0.012830927685500834,0.2729938271604938,1.840562323371181,1.0,0.00585972789368957,1.1714881521339378,0.4792110843698402,0.07031001589825119,0.1463848796264491,0.17975086242860133
frozenset({'Organic Blueberries'}),frozenset({'Bag of Organic Bananas'}),0.04492637992311598,0.1880974831362878,0.012337709436425618,0.27462060058120763,1.4599908302985038,1.0,0.0038871704464628516,1.1192798106952666,0.32988471747918335,0.05590613291264051,0.10656835721996388,0.1701063516537319
frozenset({'Organic Small Bunch Celery'}),frozenset({'Bag of Organic Bananas'}),0.03937042141147458,0.1880974831362878,0.01218539203597592,0.30950626381724394,1.645456699667737,1.0,0.004779914858462536,1.1758289385101999,0.4083426096310982,0.05660186651393147,0.1495361550915553,0.18714429374874847
frozenset({'Organic Whole String Cheese'}),frozenset({'Bag of Organic Bananas'}),0.03941394066874592,0.1880974831362878,0.012004061797345325,0.3045638571954361,1.6191809274489946,1.0,0.0045903987570712415,1.1674724203856608,0.39809425591329345,0.0557014001077006,0.1434487166132269,0.1841910791009379
"frozenset({""Organic D'Anjou Pears""})",frozenset({'Bag of Organic Bananas'}),0.03216798433306738,0.1880974831362878,0.011982302168709654,0.3724915445321308,1.9803111573919283,1.0,0.005931585278092142,1.2938511183221573,0.5114822027501851,0.05752890374703998,0.22711354819804777,0.21809708140885642
