antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Organic Hass Avocado'}),frozenset({'Bag of Organic Bananas'}),0.09306490322864755,0.15664702126254137,0.03231583351070467,0.34723974763406945,2.216701887054038,1.0,0.01773749363585036,1.2919796750502568,0.605202456288751,0.1486495611073599,0.2259940157641405,0.27676844711975696
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Hass Avocado'}),0.15664702126254137,0.09306490322864755,0.03231583351070467,0.20629714660544443,2.216701887054038,1.0,0.01773749363585036,1.1426632686181213,0.6508299159412447,0.1486495611073599,0.12485153985097557,0.27676844711975696
frozenset({'Organic Strawberries'}),frozenset({'Bag of Organic Bananas'}),0.11148705678573788,0.15664702126254137,0.031266284523189164,0.2804476629361422,1.7903159643623876,1.0,0.013802169168375525,1.1720523098830737,0.4968294278733526,0.13199888451646888,0.14679576025086974,0.2400223602597124
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Strawberries'}),0.15664702126254137,0.11148705678573788,0.031266284523189164,0.19959705758328258,1.7903159643623876,1.0,0.013802169168375525,1.1100820550852892,0.523433708500167,0.13199888451646888,0.0991656919243069,0.2400223602597124
frozenset({'Organic Avocado'}),frozenset({'Banana'}),0.08495475196148229,0.19470968594264912,0.02764056983904469,0.3253563714902808,1.670981954057042,1.0,0.011099056765288821,1.1936528858002093,0.4388302025724513,0.10967441318655716,0.16223551092945013,0.2336571144646549
frozenset({'Banana'}),frozenset({'Organic Avocado'}),0.19470968594264912,0.08495475196148229,0.02764056983904469,0.141957857439029,1.670981954057042,1.0,0.011099056765288821,1.0664339228227315,0.4986394155625027,0.10967441318655716,0.06229539533672026,0.2336571144646549
frozenset({'Organic Baby Spinach'}),frozenset({'Bag of Organic Bananas'}),0.10748702742772424,0.15664702126254137,0.02667175538903038,0.24813929668828952,1.5840664871144057,1.0,0.00983423271811229,1.121687800709298,0.41311821537820176,0.1123199604376584,0.10848633695788522,0.20920294731804723
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Baby Spinach'}),0.15664702126254137,0.10748702742772424,0.02667175538903038,0.1702665979478049,1.5840664871144057,1.0,0.00983423271811229,1.0756623396922516,0.43719934087733314,0.1123199604376584,0.07034023308271496,0.20920294731804723
frozenset({'Organic Strawberries'}),frozenset({'Banana'}),0.11148705678573788,0.19470968594264912,0.026246064191296818,0.23541803818301515,1.2090720450977281,1.0,0.004538454377875506,1.0532426270476287,0.19461666619820575,0.0937524578559631,0.05055115096971958,0.18510696096643692
frozenset({'Banana'}),frozenset({'Organic Strawberries'}),0.19470968594264912,0.11148705678573788,0.026246064191296818,0.13479588374985865,1.2090720450977281,1.0,0.004538454377875506,1.0269402636052438,0.21472930179810962,0.0937524578559631,0.026233525512638394,0.18510696096643692
frozenset({'Organic Baby Spinach'}),frozenset({'Banana'}),0.10748702742772424,0.19470968594264912,0.025578169381059678,0.23796517582792762,1.222153765365423,1.0,0.004649404027698579,1.0567631406245432,0.20366354142337592,0.09246729815065403,0.05371415641067545,0.18466542556332866
frozenset({'Banana'}),frozenset({'Organic Baby Spinach'}),0.19470968594264912,0.10748702742772424,0.025578169381059678,0.1313656752987297,1.222153765365423,1.0,0.004649404027698579,1.0274898736924971,0.22572276058374233,0.09246729815065403,0.026754398652812584,0.18466542556332866
frozenset({'Large Lemon'}),frozenset({'Banana'}),0.07949416142503798,0.19470968594264912,0.023390997365118276,0.2942479918751731,1.5112139411587493,1.0,0.007912714159774879,1.1410386435838784,0.3674939468060475,0.09326076141983437,0.12360549257200563,0.20719033843070728
frozenset({'Banana'}),frozenset({'Large Lemon'}),0.19470968594264912,0.07949416142503798,0.023390997365118276,0.12013268498624147,1.5112139411587493,1.0,0.007912714159774879,1.0461871044278626,0.42007251021254893,0.09326076141983437,0.044148034546001476,0.20719033843070728
frozenset({'Organic Raspberries'}),frozenset({'Bag of Organic Bananas'}),0.06421331532708496,0.15664702126254137,0.02238548539805797,0.34861126985941254,2.225457382142862,1.0,0.012326660826677816,1.2946999843786675,0.5884398405657345,0.11278751571629318,0.22762028881934016,0.24575763324297056
