antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Organic Avocado'}),frozenset({'Banana'}),0.08390153986689286,0.1989511288007308,0.027828526686676236,0.33168076212695635,1.6671469225950832,1.0,0.011136220622038385,1.198602143713001,0.4368229614434171,0.1091211462197774,0.1656948010269497,0.23577847805851773
frozenset({'Banana'}),frozenset({'Organic Avocado'}),0.1989511288007308,0.08390153986689286,0.027828526686676236,0.1398761939900791,1.667146922595083,1.0,0.011136220622038385,1.0650774385409123,0.4995610838699389,0.1091211462197774,0.06110113329418025,0.23577847805851773
frozenset({'Organic Baby Spinach'}),frozenset({'Banana'}),0.10009134803601723,0.1989511288007308,0.025349079994780113,0.25325945241199477,1.2729731866244354,1.0,0.005435793319827676,1.072727165796315,0.2382880736636537,0.09261852966594153,0.06779651724614218,0.19033652733746953
frozenset({'Banana'}),frozenset({'Organic Baby Spinach'}),0.1989511288007308,0.10009134803601723,0.025349079994780113,0.1274136022629443,1.2729731866244356,1.0,0.005435793319827676,1.0313118039632339,0.2676959007865692,0.09261852966594153,0.03036114184178395,0.19033652733746953
frozenset({'Organic Strawberries'}),frozenset({'Banana'}),0.09578494062377658,0.1989511288007308,0.02417460524598721,0.2523841961852861,1.2685738337180978,1.0,0.005118083186775885,1.0714712919549223,0.23414032322054293,0.08934977240526934,0.06670387950807474,0.18694723276242536
frozenset({'Banana'}),frozenset({'Organic Strawberries'}),0.1989511288007308,0.09578494062377658,0.02417460524598721,0.12151026933956463,1.2685738337180978,1.0,0.005118083186775885,1.0292835850186297,0.2642949935704553,0.08934977240526934,0.028450453737780892,0.18694723276242536
frozenset({'Organic Strawberries'}),frozenset({'Bag of Organic Bananas'}),0.09578494062377658,0.11784712253686545,0.021409695941537257,0.22351839237057222,1.8966809503613482,1.0,0.010121716306660677,1.13608985556827,0.5228437553690838,0.11137983706720977,0.11978793305939514,0.20259593229159106
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Strawberries'}),0.11784712253686545,0.09578494062377658,0.021409695941537257,0.18167347221260988,1.8966809503613482,1.0,0.010121716306660677,1.104956308603438,0.5359198041331569,0.11137983706720977,0.09498684046258184,0.20259593229159106
frozenset({'Strawberries'}),frozenset({'Banana'}),0.059816651441993995,0.1989511288007308,0.02114870155291661,0.3535587673847832,1.7771136535692,1.0,0.009248111227452045,1.2391673531692555,0.4651111818685212,0.08900253998764329,0.1930064995317772,0.22992987768657025
frozenset({'Banana'}),frozenset({'Strawberries'}),0.1989511288007308,0.059816651441993995,0.02114870155291661,0.1063009879883573,1.7771136535691998,1.0,0.009248111227452045,1.0520134138245614,0.5458965166085824,0.08900253998764329,0.04944177815705633,0.22992987768657025
frozenset({'Large Lemon'}),frozenset({'Banana'}),0.0727440297533603,0.1989511288007308,0.021075296881117055,0.28971857831595466,1.456229879480284,1.0,0.006602790048172075,1.1277908259236433,0.3378735140161714,0.08409268419682372,0.11331075141437223,0.19782530399830037
frozenset({'Banana'}),frozenset({'Large Lemon'}),0.1989511288007308,0.0727440297533603,0.021075296881117055,0.10593202968064608,1.4562298794802842,1.0,0.006602790048172075,1.0371202201947032,0.39110626620154265,0.08409268419682372,0.035791627115065255,0.19782530399830037
frozenset({'Organic Hass Avocado'}),frozenset({'Bag of Organic Bananas'}),0.07943201096176432,0.11784712253686545,0.02093664361216234,0.26357942293870007,2.236621626940836,1.0,0.01157580968300166,1.197892759845715,0.600604315555233,0.11872716340594792,0.16520073121671,0.22061938826359184
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Hass Avocado'}),0.11784712253686545,0.07943201096176432,0.02093664361216234,0.17765935358848364,2.236621626940836,1.0,0.01157580968300166,1.119448482882803,0.6267588318346471,0.11872716340594792,0.10670297446399635,0.22061938826359184
frozenset({'Organic Baby Spinach'}),frozenset({'Bag of Organic Bananas'}),0.10009134803601723,0.11784712253686545,0.020218909043455566,0.2020045632333768,1.7141238486343595,1.0,0.008423431686574997,1.1054610550625537,0.4629487462667849,0.1022605395594423,0.09540006369250698,0.1867867649719379
frozenset({'Bag of Organic Bananas'}),frozenset({'Organic Baby Spinach'}),0.11784712253686545,0.10009134803601723,0.020218909043455566,0.171568966710499,1.7141238486343597,1.0,0.008423431686574997,1.0862807111301243,0.4722668743987276,0.1022605395594423,0.07942763803691327,0.1867867649719379
frozenset({'Cucumber Kirby'}),frozenset({'Banana'}),0.051970507634085866,0.1989511288007308,0.018400104397755447,0.3540489642184557,1.7795775593365482,1.0,0.008060513239607067,1.2401077277166526,0.46208360576757623,0.07913290539829526,0.1936184432611762,0.22326725667570185
frozenset({'Banana'}),frozenset({'Cucumber Kirby'}),0.1989511288007308,0.051970507634085866,0.018400104397755447,0.09248554913294797,1.7795775593365482,1.0,0.008060513239607067,1.0446439629254978,0.5468691136791732,0.07913290539829526,0.042736056024746935,0.22326725667570185
frozenset({'Limes'}),frozenset({'Banana'}),0.06678193918830745,0.1989511288007308,0.017380595067206055,0.2602589154860772,1.308155007990692,1.0,0.004094252882190529,1.082877357995644,0.25242181591018165,0.06998357963875206,0.07653438995995474,0.17381002183929573
frozenset({'Banana'}),frozenset({'Limes'}),0.1989511288007308,0.06678193918830745,0.017380595067206055,0.08736112819251425,1.308155007990692,1.0,0.004094252882190529,1.0225491041855905,0.29407019474054863,0.06998357963875206,0.022051854618316616,0.17381002183929573
frozenset({'Organic Strawberries'}),frozenset({'Organic Baby Spinach'}),0.09578494062377658,0.10009134803601723,0.01691569881247553,0.1766008174386921,1.7643964328979107,1.0,0.007328454983891864,1.0929190495000014,0.47912711003311864,0.0945219214292225,0.0850191508168065,0.17280171250031084
frozenset({'Organic Baby Spinach'}),frozenset({'Organic Strawberries'}),0.10009134803601723,0.09578494062377658,0.01691569881247553,0.16900260756192959,1.7643964328979107,1.0,0.007328454983891864,1.0881081789238098,0.4814199166791588,0.0945219214292225,0.08097373094920861,0.17280171250031084
frozenset({'Organic Avocado'}),frozenset({'Organic Baby Spinach'}),0.08390153986689286,0.10009134803601723,0.016744421244943235,0.19957227568776126,1.9939013671386108,1.0,0.008346603017368287,1.124284710074507,0.5441234759053527,0.1001170389154394,0.11054558419305606,0.1834318353666968
frozenset({'Organic Baby Spinach'}),frozenset({'Organic Avocado'}),0.10009134803601723,0.08390153986689286,0.016744421244943235,0.16729139504563234,1.993901367138611,1.0,0.008346603017368287,1.1001429007489472,0.5539125302454786,0.1001170389154394,0.09102717536128498,0.1834318353666968
frozenset({'Organic Hass Avocado'}),frozenset({'Organic Strawberries'}),0.07943201096176432,0.09578494062377658,0.016385553960589848,0.2062840127323134,2.153616334560923,1.0,0.008777163506990083,1.139217394989009,0.5818850391059123,0.1031631919482387,0.1222044147160799,0.18867504451329567
frozenset({'Organic Strawberries'}),frozenset({'Organic Hass Avocado'}),0.09578494062377658,0.07943201096176432,0.016385553960589848,0.17106607629427795,2.1536163345609234,1.0,0.008777163506990083,1.110544474911663,0.5924085589446999,0.1031631919482387,0.09954079049419089,0.18867504451329567
frozenset({'Organic Hass Avocado'}),frozenset({'Organic Baby Spinach'}),0.07943201096176432,0.10009134803601723,0.0161245595719692,0.2029982544409077,2.0281298875888862,1.0,0.008174102517594513,1.1291175420609671,0.5506762547669586,0.09868224019167415,0.11435261365729055,0.18204834495187494
frozenset({'Organic Baby Spinach'}),frozenset({'Organic Hass Avocado'}),0.10009134803601723,0.07943201096176432,0.0161245595719692,0.16109843546284222,2.028129887588886,1.0,0.008174102517594513,1.0973492337520376,0.5633182116380134,0.09868224019167415,0.08871308308949455,0.18204834495187494
frozenset({'Limes'}),frozenset({'Large Lemon'}),0.06678193918830745,0.0727440297533603,0.014892992300665535,0.22300928187591595,3.0656712672095865,1.0,0.010035004929364199,1.1933938831152917,0.7220254235227604,0.11949479746089917,0.16205369061423977,0.213870377007024
frozenset({'Large Lemon'}),frozenset({'Limes'}),0.0727440297533603,0.06678193918830745,0.014892992300665535,0.20473147213813206,3.0656712672095865,1.0,0.010035004929364199,1.1734628343972207,0.7266679182636337,0.11949479746089917,0.14782132787897304,0.213870377007024
frozenset({'Organic Fuji Apple'}),frozenset({'Banana'}),0.03836617512723477,0.1989511288007308,0.014354691374135456,0.37414965986394555,1.8806108923297107,1.0,0.006721697524805578,1.279936783329267,0.48693991413661647,0.0643816073453561,0.21871141370054104,0.22315075335262624
frozenset({'Banana'}),frozenset({'Organic Fuji Apple'}),0.1989511288007308,0.03836617512723477,0.014354691374135456,0.07215184684130693,1.880610892329711,1.0,0.006721697524805578,1.0364129320073063,0.5845559602541733,0.0643816073453561,0.0351336141057043,0.22315075335262624
frozenset({'Yellow Onions'}),frozenset({'Banana'}),0.04070696855017617,0.1989511288007308,0.013318869894297272,0.32718894009216587,1.6445694078965387,1.0,0.005220172551183875,1.1906000345906946,0.4085697346376224,0.058844726316168786,0.1600873753176223,0.19706718762899605
frozenset({'Banana'}),frozenset({'Yellow Onions'}),0.1989511288007308,0.04070696855017617,0.013318869894297272,0.06694543516582625,1.6445694078965387,1.0,0.005220172551183875,1.0281210420103495,0.4892811330130147,0.058844726316168786,0.027351878680901786,0.19706718762899605
